1,260,284,244,283,270,242,286,231,265,236,215
1,262,236,239,277,244,235,279,223,257,227,382
1,265,237,240,279,251,236,283,225,259,230,380
1,268,277,281,304,278,245,271,219,237,225,373
2,279,266,231,309,273,297,325,282,320,319,173
2,274,259,248,311,280,296,325,280,324,312,237
2,278,256,250,310,273,305,322,273,320,305,230
2,281,263,255,318,275,306,326,280,325,306,282
3,303,311,291,293,218,226,268,217,302,322,370
3,293,315,292,284,225,223,262,207,290,300,321
3,294,297,287,273,231,222,253,201,294,307,356
3,290,304,288,287,245,229,265,212,287,295,302
4,296,317,241,223,188,239,259,211,234,269,417
4,292,309,241,227,189,249,269,217,256,265,421
4,295,312,237,229,194,252,272,220,253,271,431
4,285,293,223,225,188,257,275,221,274,245,419
5,293,292,263,210,163,184,248,198,227,298,423
5,300,298,255,222,233,199,254,199,230,305,428
5,301,281,191,243,221,250,266,193,251,307,434
5,287,289,219,235,283,189,237,195,225,287,424
6,294,314,281,224,189,228,252,203,323,302,372
6,269,316,280,231,198,232,258,209,324,242,352
6,265,311,272,232,193,233,256,213,324,254,356
6,278,307,313,337,313,307,330,278,327,316,300
6,285,307,313,337,312,307,331,278,327,324,332
1,260,283,243,283,270,242,287,231,265,235,214
1,268,287,250,292,279,255,293,235,270,246,316
1,266,238,241,279,251,237,283,226,260,232,381
1,267,278,281,302,273,243,270,217,236,223,369
1,291,244,240,311,269,292,314,257,304,253,216
1,259,323,304,285,231,213,251,207,244,233,378
1,272,308,276,288,248,243,267,215,253,215,186
1,249,296,255,263,196,201,239,205,235,212,353
1,281,283,280,314,272,236,269,216,249,217,335
1,281,290,274,281,243,253,300,240,264,241,286
2,260,247,273,302,248,315,329,280,320,303,285
2,273,245,289,317,268,294,311,255,302,303,246
2,273,248,312,303,197,309,314,238,278,287,324
2,293,278,273,307,286,272,302,245,301,305,296
2,262,259,251,301,280,310,329,279,327,310,264
2,273,255,270,310,298,312,331,278,327,308,294
3,281,327,299,284,245,271,291,234,307,274,352
3,287,310,262,231,159,245,289,245,312,258,366
3,278,313,284,267,202,266,294,233,310,284,197
3,298,309,279,277,231,272,311,263,309,291,365
3,289,313,265,255,201,267,303,249,295,276,335
4,284,246,216,237,203,248,289,244,276,280,404
4,290,293,269,230,184,237,279,230,254,288,403
4,279,288,245,232,196,262,295,243,290,259,392
4,281,273,260,250,210,265,299,247,301,273,403
4,291,319,286,256,216,270,298,238,243,299,391
4,292,319,286,256,217,270,298,237,244,298,392
4,301,313,292,267,229,267,299,237,256,276,388
4,291,305,282,253,213,270,290,221,232,270,399
4,290,311,260,222,164,251,274,223,264,302,380
4,285,277,218,218,166,260,298,235,267,274,404
5,288,275,235,256,257,259,269,214,287,291,345
5,275,253,203,258,281,249,253,217,261,275,304
5,295,281,227,161,208,191,242,206,245,258,239
5,291,299,271,242,252,206,260,215,258,265,380
5,296,244,203,254,267,220,258,208,263,286,273
5,287,234,197,249,286,190,240,202,247,283,382
5,289,286,238,201,230,206,262,212,244,297,315
5,298,286,270,268,297,264,271,209,278,308,321
5,270,260,199,196,253,185,242,204,227,279,348
5,278,259,190,180,190,210,249,200,229,283,360
5,285,279,251,248,212,199,256,213,248,285,385
6,281,303,261,191,113,221,292,243,327,271,358
6,261,295,261,194,118,223,288,241,327,261,355
6,290,298,280,225,137,243,287,237,328,296,351
6,272,299,261,204,121,233,284,239,327,268,353
