1,291,244,240,311,269,293,313,258,304,253,211
1,259,323,304,285,231,213,251,206,244,232,378
1,272,308,276,287,248,242,267,215,253,216,185
1,248,296,254,262,196,198,237,203,233,210,353
1,281,283,280,314,271,235,268,215,248,216,334
1,280,289,272,280,240,250,298,239,263,237,288
2,259,248,273,300,247,315,329,280,319,303,283
2,273,246,289,317,269,292,311,255,302,303,244
2,274,248,312,302,195,308,313,238,277,286,323
2,293,279,274,306,285,270,302,244,300,305,292
2,262,258,249,301,280,311,330,280,328,311,264
2,271,254,268,310,299,311,331,278,326,308,290
3,281,327,300,286,246,271,291,233,307,274,352
3,286,310,263,230,157,243,288,244,309,254,362
3,278,314,284,268,201,266,295,233,310,284,193
3,298,309,279,278,231,272,311,264,309,291,364
3,289,314,265,254,200,267,302,248,294,275,334
4,303,319,287,254,199,281,291,229,277,290,389
4,292,251,224,237,169,254,279,233,270,230,369
4,290,300,267,247,179,261,291,228,277,256,367
4,289,310,276,258,191,272,297,234,249,261,394
4,297,321,280,259,189,272,296,230,238,256,385
5,280,314,261,223,190,257,273,208,227,258,366
5,285,314,287,253,188,254,284,224,256,289,384
5,299,309,287,249,182,260,281,225,256,293,415
5,300,323,293,251,185,265,283,225,264,301,417
6,280,304,261,190,113,221,292,242,327,271,358
6,259,295,261,193,116,222,288,241,327,258,354
6,290,299,280,225,137,243,287,237,327,296,351
6,271,299,260,203,118,231,280,239,326,267,354
